PROPERTY_NUM,TRANSACTION_AMOUNT,YEAR_BUILT,ADDRESS,FORMATTED_REGISTRATION_DATE,ROAD_NAME,APARTMENT_NAME,SQUARE_FOOTAGE,FLOOR_NUMBER
234,113000,2014,서울특별시 동대문구  답십리동 1003 ,2024-07-19,답십리로,래미안위브,59.97,4
3060,6500,1987,대구광역시 달성군 현풍읍 중리 335,2024-07-19,현풍동로,현풍학산,40.91,5
320,47000,2000,서울특별시 중랑구  신내동 437 ,2024-07-19,용마산로125길,벽산,59.78,11
1131,99750,1998,서울특별시 영등포구  영등포동7가 46-1 ,2024-07-19,양산로,경남아너스빌,84.93,14
1143,270000,1971,서울특별시 영등포구  여의도동 50 ,2024-07-19,63로,시범,118.12,2
1167,13650,2015,서울특별시 영등포구  당산동 121-130 ,2024-07-19,버드나루로,리버뷰,15.05,8
1271,158000,2007,서울특별시 동작구  상도동 521 ,2024-07-19,장승배기로4길,포스코더샵,132.74,10
1730,58000,2014,부산광역시 서구  서대신동3가 752 ,2024-07-19,보수대로,대신공원한신휴플러스,120.88,10
1803,36000,2005,부산광역시 부산진구  전포동 362-64 ,2024-07-19,전포대로,한라비발디,84.97,18
1898,29800,1998,부산광역시 동래구  낙민동 94-1 ,2024-07-19,온천천로399번길,동원로얄듀크,59.96,17
2423,40000,2014,대구광역시 중구  남산동 3000 ,2024-07-19,남산로,극동스타클래스남산,59.52,17
2535,49600,2022,대구광역시 서구  내당동 2346,2024-07-19,달구벌대로361길,e편한세상두류역,74.87,29
2599,30000,2017,대구광역시 북구  노원동3가 1227,2024-07-19,노원로10길,대구노원한신더휴,74.95,5
2651,12550,1995,대구광역시 북구  구암동 695-3,2024-07-19,학정로,칠곡청구타운,59.34,10
2658,10500,1995,대구광역시 북구  동천동 872,2024-07-19,팔거천동로,보성서한타운,59.9,1
2797,33600,1995,대구광역시 수성구  신매동 594,2024-07-19,신매로,시지동서타운,116.19,3
2798,16000,1995,대구광역시 수성구  신매동 580,2024-07-19,고산로,시지청솔타운,57.39,2
2876,13000,1997,대구광역시 달서구  도원동 1440,2024-07-19,한실로,아람마을,59.63,6
2950,46500,2008,대구광역시 달서구  월성동 1329,2024-07-19,월배로33길,태왕아너스베스트,127.04,11
304,10200,2014,서울특별시 중랑구  상봉동 113-1 ,2024-07-19,면목로,포시티,14.86,14
