가격,건축년도,주소,등록일,아파트,전용면적,층
147000,2008, 사직동 9,2024-07-01,광화문스페이스본(101동~105동),94.51,11
45000,2003, 익선동 55,2024-07-08,현대뜨레비앙,48.54,5
115000,1995, 명륜2가 4,2024-07-01,아남1,84.9,6
71000,1993, 창신동 703,2024-07-02,창신쌍용2,79.87,15
55800,1993, 창신동 703,2024-07-05,창신쌍용2,54.7,1
57000,1979, 숭인동 204-11,2024-07-01,숭인상가,80.85,6
82000,2008, 숭인동 2-1,2024-07-03,종로센트레빌,59.92,11
82000,2008, 숭인동 2-1,2024-07-03,종로센트레빌,59.92,11
254000,2017, 홍파동 199,2024-07-01,경희궁자이(2단지),101.8976,6
220000,2017, 홍파동 199,2024-07-02,경희궁자이(2단지),84.8359,10
118500,2008, 무악동 60,2024-07-03,인왕산아이파크,84.858,3
51400,1981, 묵정동 11-67,2024-07-01,묵정,52.46,7
92500,1999, 신당동 843,2024-07-01,삼성,59.98,5
136500,1999, 신당동 842,2024-07-01,약수하이츠,114.92,10
150000,2011, 신당동 852,2024-07-02,청구e편한세상,84.95,12
120000,2011, 신당동 851,2024-07-04,래미안하이베르,84.85,6
122000,2011, 신당동 851,2024-07-05,래미안하이베르,84.97,10
109000,2011, 신당동 851,2024-07-05,래미안하이베르,59.74,15
118000,2011, 신당동 851,2024-07-06,래미안하이베르,84.85,4
35500,2018, 황학동 1200,2024-07-08,위너빌(Winnervill),29.87,8
34500,2020, 정동 37,2024-07-02,삼정아트테라스정동,13.8874,7
125000,2018, 효창동 286,2024-07-02,용산케이씨씨스위첸,59.97,5
125000,2001, 도원동 23,2024-07-07,삼성래미안,84.69,2
380000,1971, 이촌동 300-23,2024-07-02,한강맨숀,101.95,4
190000,1998, 이촌동 404,2024-07-08,한가람,84.96,2
890000,2011, 한남동 810,2024-07-01,한남더힐,208.478,3
380000,1984, 서빙고동 241-21,2024-07-04,신동아,166.98,7
110000,2017, 하왕십리동 1071,2024-07-01,왕십리자이,59.99,1
